pmid,title,journal,year,drug,disease
38991533,Public Health Surveillance in Electronic Health Records: Lessons From PCORnet.,Preventing chronic disease,2024,Warfarin,Hepatitis C
38361436,Protein kinase C delta enhances the diagnostic performance of hepatocellular carcinoma.,"Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals",2024,Warfarin,Hepatitis C
37779775,Cutaneous Leukocytoclastic Vasculitis Induced by Apixaban and/or Rivaroxaban With Seronegative Anti-Neutrophil Cytoplasmic Antibody (ANCA) Titers: A Case Report and Literature Review.,Cureus,2023,Warfarin,Hepatitis C
36103593,Safe co-administration of direct-acting antivirals and direct oral anticoagulants among patients with hepatitis C virus infection: An international multicenter retrospective cohort study.,Journal of viral hepatitis,2022,Warfarin,Hepatitis C
34641870,An informatics consult approach for generating clinical evidence for treatment decisions.,BMC medical informatics and decision making,2021,Warfarin,Hepatitis C
33393016,Effect of Hepatitis C Drugs on Blood Coagulability in Patients on Warfarin Using the Medical Information Database Network (MID-NET((R))) in Japan.,Therapeutic innovation & regulatory science,2021,Warfarin,Hepatitis C
31418789,Decreased warfarin sensitivity among patients treated with elbasvir and grazoprevir for hepatitis C infection.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2019,Warfarin,Hepatitis C
30978730,Direct-Acting Oral Anticoagulants (DOACs) in Cirrhosis and Cirrhosis-Associated Portal Vein Thrombosis.,Seminars in liver disease,2019,Warfarin,Hepatitis C
30784359,Dynamics and management of oral anticoagulant treatment in chronic hepatitis C patients undergoing therapy with direct antiviral agents.,"Journal of chemotherapy (Florence, Italy)",2019,Warfarin,Hepatitis C
29886103,Randomized controlled trial of rivaroxaban versus warfarin in the management of acute non-neoplastic portal vein thrombosis.,Vascular pharmacology,2019,Warfarin,Hepatitis C
29458277,Inductive Effect of a Ritonavir-Containing Hepatitis C Treatment Regimen on Warfarin in a Patient-A Case Report.,Journal of pharmacy practice,2019,Warfarin,Hepatitis C
29349091,Coexistent Ipsilateral Internal Carotid Artery Occlusion and Cerebral Venous Thrombosis in Hepatitis C.,Journal of investigative medicine high impact case reports,2018,Warfarin,Hepatitis C
28842460,Reduction in warfarin effect associated with sofosbuvir-velpatasvir.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2017,Warfarin,Hepatitis C
28596225,Increased warfarin requirements in a patient with chronic hepatitis C infection receiving sofosbuvir and ribavirin.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2017,Warfarin,Hepatitis C
28100063,Evaluation of a Potential Interaction Between New Regimens to Treat Hepatitis C and Warfarin: Twelve-Week Post-treatment Follow-up.,The Annals of pharmacotherapy,2017,Warfarin,Hepatitis C
27813106,Paritaprevir/ritonavir/ombitasvir+dasabuvir plus ribavirin therapy and inhibition of the anticoagulant effect of warfarin: a case report.,Journal of clinical pharmacy and therapeutics,2017,Warfarin,Hepatitis C
27716978,Influence of Successful Chronic Hepatitis C Virus Treatment with Ledipasvir/Sofosbuvir on Warfarin Dosing Requirements in Four Veterans.,Pharmacotherapy,2016,Warfarin,Hepatitis C
27465881,Evaluation of a Potential Interaction Between New Regimens to Treat Hepatitis C and Warfarin.,The Annals of pharmacotherapy,2016,Warfarin,Hepatitis C
26459906,Drug Interactions with the Direct-Acting Antiviral Combination of Ombitasvir and Paritaprevir-Ritonavir.,Antimicrobial agents and chemotherapy,2016,Warfarin,Hepatitis C
25646891,"Drug-drug interaction profile of the all-oral anti-hepatitis C virus regimen of paritaprevir/ritonavir, ombitasvir, and dasabuvir.",Journal of hepatology,2015,Warfarin,Hepatitis C
25515435,Warfarin and boceprevir interaction causing subtherapeutic international normalized ratio: a case report.,Journal of medical case reports,2014,Warfarin,Hepatitis C
25449227,Interactions of the hepatitis C virus protease inhibitor faldaprevir with cytochrome P450 enzymes: in vitro and in vivo correlation.,Journal of clinical pharmacology,2015,Warfarin,Hepatitis C
24548174,Methods and software tools for design evaluation in population pharmacokinetics-pharmacodynamics studies.,British journal of clinical pharmacology,2015,Warfarin,Hepatitis C
24034307,Value-based assessment of pharmacodiagnostic testing from early stage development to real-world use.,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,2013,Warfarin,Hepatitis C
