pmid,title,journal,year,drug,disease
40889956,Anticoagulation and antiplatelet strategies used in Sweden in patients with myocardial infarction and concomitant atrial fibrillation: nationwide cohort study.,Open heart,2025,Warfarin,Myocardial Infarction
40780763,Multimodal Image in a Coronary Embolism-Induced Acute Myocardial Infarction in a Mechanical Aortic Valve Recipient.,JACC. Case reports,2025,Warfarin,Myocardial Infarction
40772199,ST-Elevation Myocardial Infarction Despite Adequate Anticoagulation in a Patient With Triple-Positive Antiphospholipid Syndrome: A Therapeutic Dilemma in a Resource-Limited Setting.,Cureus,2025,Warfarin,Myocardial Infarction
40771914,"Pharmacodynamics, pharmacokinetics, interactions with other drugs, toxicity and clinical effectiveness of proton pump inhibitors.",Frontiers in pharmacology,2025,Warfarin,Myocardial Infarction
40709019,A Double Threat: Concurrent Non-ST-Elevation Myocardial Infarction and Transient Ischemic Attack Symptoms Revealing Triple-Vessel Coronary Artery Disease.,Cureus,2025,Warfarin,Myocardial Infarction
40706143,"Rivaroxaban vs Warfarin in Acute Left Ventricular Thrombus Following Myocardial Infarction: RIVAWAR, An Open-Label RCT.",JACC. Advances,2025,Warfarin,Myocardial Infarction
40674150,Prevention of unfavorable fibrin clots and thrombo-embolic manifestations in patients with cardiovascular disease.,Expert review of cardiovascular therapy,2025,Warfarin,Myocardial Infarction
40625465,A Stepwise Diagnostic Approach to Transmural Myocardial Infarction With Non-obstructive Coronary Arteries With Microvascular Obstruction Highlighting the Role of Cardiac MRI in Suspected Thrombolysis.,Cureus,2025,Warfarin,Myocardial Infarction
40579663,Early anticoagulant resumption after atypical intracerebral hemorrhage: beyond atrial fibrillation analysis of two clinical cases admitted to the University Hospital of Pisa.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2025,Warfarin,Myocardial Infarction
40568410,Case report: a thrombus to remember: a case of warfarin non-compliance in a total cavopulmonary circulation patient.,European heart journal. Case reports,2025,Warfarin,Myocardial Infarction
40541364,Discordant Antithrombotic Effects of Apixaban in Fibrillating Left Atria vs Post-Myocardial Infarction Left Ventricular Aneurysm.,JACC. Case reports,2025,Warfarin,Myocardial Infarction
40497467,Antiplatelet versus anticoagulation treatment for people with heart failure in sinus rhythm.,The Cochrane database of systematic reviews,2025,Warfarin,Myocardial Infarction
40462483,Long-term clinical outcomes of oral anticoagulation in the older patients with atrial fibrillation aged >/=80 years: a report from the GLORIA-AF registry phase III.,Age and ageing,2025,Warfarin,Myocardial Infarction
40447363,Idiopathic Ascending Aortic Thrombus With Limb Ischemia and Myocardial Infarction in a Young Woman.,JACC. Case reports,2025,Warfarin,Myocardial Infarction
40444814,Pre-treatment lysis time of plasma-derived fibrin clots and bleeding in patients on oral anticoagulants for atrial fibrillation in the ARISTOTLE trial.,European heart journal,2025,Warfarin,Myocardial Infarction
40434332,Long-Term and Time-Dependent Association of Predictors on Mortality in Patients With Iliofemoral Artery Disease.,JACC. Asia,2025,Warfarin,Myocardial Infarction
40370912,Pathological Study of a Case of Catastrophic Antiphospholipid Syndrome in a Patient With Gastrointestinal Bleeding.,Cureus,2025,Warfarin,Myocardial Infarction
40178736,Long-term left ventricular thrombosis resolution in patients receiving vitamin k antagonists: a multicenter observational study.,Internal and emergency medicine,2025,Warfarin,Myocardial Infarction
40144702,Successful Surgical Repair of Adult Anomalous Origin of the Left Main Coronary Artery from the Pulmonary Artery Complicated by a Mass in the Left Atrial Appendage: A Case Report.,Surgical case reports,2025,Warfarin,Myocardial Infarction
40142937,The Efficacy and Safety of Direct Oral Anticoagulants Compared to Warfarin for Left Ventricular Thrombus Resolution.,Journal of clinical medicine,2025,Warfarin,Myocardial Infarction
40115089,Treatment and prognosis of patients with Kawasaki disease and giant coronary artery aneurysm: a retrospective observational study.,Cardiovascular diagnosis and therapy,2025,Warfarin,Myocardial Infarction
39962569,Comparing the post-operative complications following surgery for hip fracture of patients who were on warfarin versus patients who were on novel oral anticoagulants: a meta-analysis.,"Perioperative medicine (London, England)",2025,Warfarin,Myocardial Infarction
39961639,Safety and effectiveness of anticoagulation therapy in older people with atrial fibrillation during exposed and unexposed treatment periods.,Heart (British Cardiac Society),2025,Warfarin,Myocardial Infarction
39931617,Alternative Approach to Left Ventricular Thrombectomy Using Percutaneous Cardiopulmonary Bypass: A Case Report.,Cureus,2025,Warfarin,Myocardial Infarction
39906442,ST-Elevation Myocardial Infarction (STEMI) Due to Left Ventricular Thrombus Embolization: Implications of Multiagent Hormone Replacement Therapy.,Cureus,2025,Warfarin,Myocardial Infarction
39902255,"Left Atrium Thrombi Extending From Pulmonary Vein Thrombi Are Heterogeneous, Exhibit Calcifications, and Can Cause Acute Myocardial Infarction.",Cureus,2025,Warfarin,Myocardial Infarction
39896253,The COOL-AF Phase 2 Registry: COhort of Antithrombotic Use and Clinical Outcomes in Atrial Fibrillation Patients.,JACC. Asia,2025,Warfarin,Myocardial Infarction
39844490,[Analysis of 41 cases of myocardial infarction in children with coronary artery lesion after Kawasaki disease].,Zhonghua er ke za zhi = Chinese journal of pediatrics,2025,Warfarin,Myocardial Infarction
39791401,Epistaxis Versus Nonepistaxis Bleeding in Anticoagulated Patients With Atrial Fibrillation: Results From the ENGAGE AF-TIMI 48 Trial.,Journal of the American Heart Association,2025,Warfarin,Myocardial Infarction
39773831,Direct oral anticoagulants or warfarin in patients with left ventricular thrombus after ST-elevation myocardial infarction: a pilot trial and a prespecified meta-analysis of randomised trials.,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,2025,Warfarin,Myocardial Infarction
39729166,Comparative Safety and Efficacy of Non-vitamin K Antagonist Oral Anticoagulants (NOACs) Versus Warfarin in Deep Vein Thrombosis (DVT) Treatment: A Meta-analysis.,Cardiovascular drugs and therapy,2024,Warfarin,Myocardial Infarction
39690726,Recurrent Acute Myocardial Infarction in a Patient with Severe Coronary Artery Ectasia Followed Up for 10 Years: Implications of Anticoagulant Therapy.,The American journal of case reports,2024,Warfarin,Myocardial Infarction
39680399,Atrial Fibrillation: A Review.,JAMA,2025,Warfarin,Myocardial Infarction
39596945,Bleeding and Thrombotic Events in Hemodialysis Patients with Atrial Fibrillation on Anticoagulation and Antiplatelet Therapy: A 24-Month Cohort Study.,"Medicina (Kaunas, Lithuania)",2024,Warfarin,Myocardial Infarction
39559634,Left Ventricular Pseudoaneurysm After Sutureless Repair for Post-Myocardial Infarction Oozing-Type Left Ventricular Free Wall Rupture.,Cureus,2024,Warfarin,Myocardial Infarction
39548432,Different antithrombotic strategies to prevent cardiovascular complications in Kawasaki patients: a systematic review and meta-analysis.,BMC pediatrics,2024,Warfarin,Myocardial Infarction
39547342,Outcomes Associated With Novel Oral Anticoagulants and Warfarin in Patients With Cardiac Thrombus Following ST-Segment Elevation Myocardial Infarction.,The American journal of cardiology,2025,Warfarin,Myocardial Infarction
39525737,Breaking boundaries: exploring recent advances in anticoagulation and thrombosis management: a comprehensive review.,Annals of medicine and surgery (2012),2024,Warfarin,Myocardial Infarction
39514302,Efficacy of direct oral anticoagulants vs. warfarin in left ventricular thrombus in myocardial infarction: systematic review and meta-analysis.,"Journal of cardiovascular medicine (Hagerstown, Md.)",2025,Warfarin,Myocardial Infarction
39494376,Antiphospholipid syndrome onset with hemolytic anemia and accompanied cardiocerebral events: a case report.,Frontiers in pediatrics,2024,Warfarin,Myocardial Infarction
39388664,Comparative Analysis of Anticoagulation Versus Combination Anticoagulation and Antiplatelet Therapy in Atrial Fibrillation Patients Presenting With Gastrointestinal Bleeding.,Journal of cardiovascular pharmacology,2024,Warfarin,Myocardial Infarction
29261922,Warfarin.,,2025,Warfarin,Myocardial Infarction
39365213,Direct Oral Anticoagulants for Rheumatic Heart Disease-Associated Atrial Fibrillation Post-Bioprosthetic Mitral Valve Replacement.,JACC. Clinical electrophysiology,2024,Warfarin,Myocardial Infarction
39357687,Chronic Anticoagulation in Patients Who Have Atrial Fibrillation Undergoing Outpatient Total Knee Arthroplasty: A Retrospective Matched Cohort Study.,The Journal of arthroplasty,2025,Warfarin,Myocardial Infarction
39319460,Prediction of Severe Baseline Asymptomatic Carotid Stenosis and Subsequent Risk of Stroke and Cardiovascular Disease.,Stroke,2024,Warfarin,Myocardial Infarction
39306346,"Safety and efficacy of apixaban versus warfarin in peritoneal dialysis patients with non-valvular atrial fibrillation: protocol for a prospective, randomised, open-label, blinded endpoint trial (APIDP2).",BMJ open,2024,Warfarin,Myocardial Infarction
39283957,Components of the Atrial fibrillation Better Care pathway for holistic care of patients with atrial fibrillation: a win ratio analysis from the COOL-AF registry.,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",2024,Warfarin,Myocardial Infarction
39268256,Dual Coronary Artery Thrombosis: An Unforeseen Angiographic Encounter.,Cureus,2024,Warfarin,Myocardial Infarction
39230543,Heart Failure Risk Assessment Using Biomarkers in Patients With Atrial Fibrillation: Analysis From COMBINE-AF.,Journal of the American College of Cardiology,2024,Warfarin,Myocardial Infarction
39215489,Comparative effectiveness and safety of direct oral anticoagulants and warfarin in atrial fibrillation patients with dementia.,European stroke journal,2025,Warfarin,Myocardial Infarction
