pmid,title,journal,year,drug,disease
40845270,Comparison of anticoagulants and risk of ischemic stroke in patients with acute cancer-associated venous thromboembolism.,Blood advances,2025,Warfarin,Pancreatic Cancer
39843398,Vitamin K-dependent gamma-carboxyglutamic acid protein 1 promotes pancreatic ductal adenocarcinoma progression through stabilizing oncoprotein KRAS and tyrosine kinase receptor EGFR.,Clinical and translational medicine,2025,Warfarin,Pancreatic Cancer
38655481,"The conjugates of 5'-deoxy-5-fluorocytidine and hydroxycinnamic acids - synthesis, anti-pancreatic cancer activity and molecular docking studies.",RSC advances,2024,Warfarin,Pancreatic Cancer
38361436,Protein kinase C delta enhances the diagnostic performance of hepatocellular carcinoma.,"Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals",2024,Warfarin,Pancreatic Cancer
38348537,Cancer-associated non-bacterial thrombotic endocarditis-Clinical series from a single institution.,American journal of hematology,2024,Warfarin,Pancreatic Cancer
38252209,Potential of Direct Oral Anticoagulant in Bleeding After Gastric Endoscopic Submucosal Dissection: A Systematic Review and Meta-Analysis.,Digestive diseases and sciences,2024,Warfarin,Pancreatic Cancer
38197229,Effectiveness and safety of anticoagulants among patients with venous thromboembolism and common cancers or cancers with high venous thromboembolism risk.,"Future oncology (London, England)",2024,Warfarin,Pancreatic Cancer
38033403,Clinical valve thrombosis and arterial embolism in a cancer patient after transcatheter aortic valve replacement.,Oxford medical case reports,2023,Warfarin,Pancreatic Cancer
36446317,Drug Interactions Causing Warfarin Overdose in a Patient with Pancreatic Cancer: A Case Report.,Chemotherapy,2023,Warfarin,Pancreatic Cancer
35221882,Adenocarcinoma of the Gastroesophageal Junction Masquerading as Mallory-Weiss Syndrome.,Case reports in gastroenterology,2022,Warfarin,Pancreatic Cancer
34682770,Direct Oral Anticoagulant Therapy for Isolated Distal Deep Vein Thrombosis Associated with Cancer in Routine Clinical Practice.,Journal of clinical medicine,2021,Warfarin,Pancreatic Cancer
34490999,Overall survival with warfarin vs. low-molecular-weight heparin in cancer-associated thrombosis.,Journal of thrombosis and haemostasis : JTH,2021,Warfarin,Pancreatic Cancer
33551406,Hemosuccus Pancreaticus Due to the Rupture of a Pseudoaneurysm That Developed in an Intraductal Papillary Mucinous Neoplasm.,"Internal medicine (Tokyo, Japan)",2021,Warfarin,Pancreatic Cancer
32787358,Primary prophylaxis for venous thromboembolism in ambulatory cancer patients: a systematic review and network meta-analysis.,Annals of palliative medicine,2020,Warfarin,Pancreatic Cancer
32756962,Patients With MEN1 Are at an Increased Risk for Venous Thromboembolism.,The Journal of clinical endocrinology and metabolism,2021,Warfarin,Pancreatic Cancer
32534193,An insight into the therapeutic applications of coumarin compounds and their mechanisms of action.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2020,Warfarin,Pancreatic Cancer
32384216,Fundamental Research in Oncology and Thrombosis 2 (FRONTLINE 2): A Follow-Up Survey.,The oncologist,2020,Warfarin,Pancreatic Cancer
32324203,Cardiac Masses in a Patient With Pancreatic Adenocarcinoma and a History of Breast Carcinoma.,JAMA oncology,2020,Warfarin,Pancreatic Cancer
32311417,Targeting MerTK Enhances Adaptive Immune Responses After Radiation Therapy.,"International journal of radiation oncology, biology, physics",2020,Warfarin,Pancreatic Cancer
30922279,A lung cancer patient with deep vein thrombosis:a case report and literature review.,BMC cancer,2019,Warfarin,Pancreatic Cancer
30692466,[Recurrent Gastric Cancer with Tumor Bleeding from a Metastatic Lymph Node Invading the Duodenal Stump Successfully Controlled by Palliative Radiotherapy-A Case Report].,Gan to kagaku ryoho. Cancer & chemotherapy,2018,Warfarin,Pancreatic Cancer
29848769,"Venous thromboembolism in patients with cancer: design and rationale of a multicentre, prospective registry (Cancer-VTE Registry).",BMJ open,2018,Warfarin,Pancreatic Cancer
29248457,Malnutrition in Pancreatic Ductal Adenocarcinoma (PDA): Dietary Pancreatic Enzymes Improve Short-Term Health but Stimulate Tumor Growth.,The American journal of pathology,2018,Warfarin,Pancreatic Cancer
29068809,Advances in managing and preventing thromboembolic disease in cancer patients.,Current opinion in supportive and palliative care,2017,Warfarin,Pancreatic Cancer
28079594,Impact of Concurrent Medication Use on Pancreatic Cancer Survival-SEER-Medicare Analysis.,American journal of clinical oncology,2018,Warfarin,Pancreatic Cancer
27485998,Evaluation of US prescription patterns: Are treatment guidelines for cancer-associated venous thromboembolism being followed?,Thrombosis research,2016,Warfarin,Pancreatic Cancer
26809527,[Evaluation of Drug Interaction between S-1 and Warfarin].,Gan to kagaku ryoho. Cancer & chemotherapy,2016,Warfarin,Pancreatic Cancer
26438693,A rapid in vivo screen for pancreatic ductal adenocarcinoma therapeutics.,Disease models & mechanisms,2015,Warfarin,Pancreatic Cancer
26206560,Warfarin Blocks Gas6-Mediated Axl Activation Required for Pancreatic Cancer Epithelial Plasticity and Metastasis.,Cancer research,2015,Warfarin,Pancreatic Cancer
24782507,Predictors of venous thromboembolism recurrence and bleeding among active cancer patients: a population-based cohort study.,Blood,2014,Warfarin,Pancreatic Cancer
24666272,Supermarket medicine by proxy.,Journal of palliative medicine,2014,Warfarin,Pancreatic Cancer
21150239,Cancer-related venous thromboembolism: insight into underestimated risk factors.,Hematology/oncology and stem cell therapy,2010,Warfarin,Pancreatic Cancer
19287098,Role of anticoagulation in the management of pancreatic cancer.,JOP : Journal of the pancreas,2009,Warfarin,Pancreatic Cancer
18981557,Interaction between capecitabine and gemcitabine with warfarin in a patient with pancreatic cancer.,JOP : Journal of the pancreas,2008,Warfarin,Pancreatic Cancer
18836621,Prospective study on warfarin and regional chemotherapy in patients with pancreatic carcinoma.,Journal of gastrointestinal and liver diseases : JGLD,2008,Warfarin,Pancreatic Cancer
18594494,"Coagulation, anticoagulation and pancreatic carcinoma.",Nature clinical practice. Gastroenterology & hepatology,2008,Warfarin,Pancreatic Cancer
18095746,Orlistat-associated adverse effects and drug interactions: a critical review.,Drug safety,2008,Warfarin,Pancreatic Cancer
17432275,Deep vein thromboembolism in malignant diseases.,Ceska a Slovenska farmacie : casopis Ceske farmaceuticke spolecnosti a Slovenske farmaceuticke spolecnosti,2007,Warfarin,Pancreatic Cancer
17175456,Durability of portal venous reconstruction following resection during pancreaticoduodenectomy.,Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,2006,Warfarin,Pancreatic Cancer
16938724,Effects of low-dose warfarin and regional chemotherapy on survival in patients with pancreatic carcinoma.,Scandinavian journal of gastroenterology,2006,Warfarin,Pancreatic Cancer
16197620,An adverse interaction between warfarin and fluoropyrimidines revisited.,Clinical colorectal cancer,2005,Warfarin,Pancreatic Cancer
15763604,Capecitabine: a review.,Clinical therapeutics,2005,Warfarin,Pancreatic Cancer
19829753,Interaction between Gemcitabine and Warfarin Causing Gastrointestinal Bleeding in a Patient with Pancreatic Cancer.,The journal of applied research,2005,Warfarin,Pancreatic Cancer
15522652,Pancreatic cancer and thromboembolic disease.,The Lancet. Oncology,2004,Warfarin,Pancreatic Cancer
1519231,Recurrent venous thrombosis during warfarin treatment related to acquired protein S deficiency.,Thrombosis research,1992,Warfarin,Pancreatic Cancer
2918628,Mesenteric venous thrombosis.,Journal of vascular surgery,1989,Warfarin,Pancreatic Cancer
3046272,Trousseau's syndrome.,American family physician,1988,Warfarin,Pancreatic Cancer
2935793,Warfarin-induced skin necrosis. A cutaneous sign of malignancy?,Postgraduate medicine,1986,Warfarin,Pancreatic Cancer
4364886,Effects of sodium warfarin and other carcinostatic agents on malignant cells: a study of drug synergy.,Journal of medicine,1974,Warfarin,Pancreatic Cancer
4722709,Chemotherapy for carcinoma of the pancreas.,Surgery,1973,Warfarin,Pancreatic Cancer
