pmid,title,journal,year,drug,disease
40225446,"A Case of Pulmonary Hemorrhage, Supratherapeutic International Normalized Ratio (INR), and Anti-neutrophil Cytoplasmic Antibody (ANCA)-Associated Vasculitis: Unmasking a Potential Link to Tirzepatide.",Cureus,2025,Warfarin,Type 2 Diabetes
38982988,Epidemiology of potential drug- drug interactions in hospitalized patients with type 2 diabetes mellitus in China: a retrospective study.,Frontiers in endocrinology,2024,Warfarin,Type 2 Diabetes
38583093,Sodium-Glucose Cotransporter-2 Inhibitors and Major Adverse Cardiovascular Outcomes: A SMART-C Collaborative Meta-Analysis.,Circulation,2024,Warfarin,Type 2 Diabetes
38559512,The Standard-Dose Heparin-Warfarin Remedy Partially Resolves Thrombi in the Right Superior Pulmonary Vein and Left Atrium and Ameliorates Type 2 Diabetes Mellitus.,Cureus,2024,Warfarin,Type 2 Diabetes
38169875,"Calciphylaxis, beware the ophthalmic mimic: A case series.",Clinical nephrology. Case studies,2023,Warfarin,Type 2 Diabetes
37556796,Risk Assessment of Kidney Disease Progression and Efficacy of SGLT2 Inhibition in Patients With Type 2 Diabetes.,Diabetes care,2023,Warfarin,Type 2 Diabetes
37543960,A systematic review of economic evaluations of pharmacist services.,The International journal of pharmacy practice,2023,Warfarin,Type 2 Diabetes
37440741,Ischemic Stroke Management: Posthospitalization and Transition of Care.,American family physician,2023,Warfarin,Type 2 Diabetes
37018949,Hemorrhagic stroke as a rare complication of opening the permanent dialysis catheter by Reteplase: A case report study.,International journal of surgery case reports,2023,Warfarin,Type 2 Diabetes
36967527,Initiation of glucose-lowering drugs reduces the anticoagulant effect of warfarin-But not through altered drug metabolism in patients with type 2 diabetes.,British journal of clinical pharmacology,2023,Warfarin,Type 2 Diabetes
36931879,[Dental interventions in oral antithrombotic therapy].,Vnitrni lekarstvi,2023,Warfarin,Type 2 Diabetes
39077488,Impacts of Diabetes Mellitus on Cardiovascular Outcomes and Differential Effects of Direct Oral Anticoagulants in Patients with Left Ventricular Thrombus.,Reviews in cardiovascular medicine,2023,Warfarin,Type 2 Diabetes
